Rend Ask al vencimiento,Rend Bid al vencimiento,Nombre,Ticker,Cupón,Vencimiento,Tipo de vencimiento,País/región,Divisa,Identificador,Ráting Composite Bloomberg,Ask,Fuente
8.809605149,1/8/1900,Mexican Bonos,MBONO,7.5,5/26/2033,AT MATURITY,MX,MXN,ZN7935812,BBB,91.409,BGN
8.822815332,8.852957411,Mexican Bonos,MBONO,7.75,5/29/2031,AT MATURITY,MX,MXN,EI8047355,BBB,93.943,BGN
8.889836217,8.915059919,Mexican Bonos,MBONO,7.75,#N/A,AT MATURITY,MX,MXN,EJ1291206,BBB,89.497,BGN
8.770625978,8.8114267,Mexican Bonos,MBONO,8,5/24/2035,AT MATURITY,MX,MXN,ZJ8065048,BBB,94.334,BVAL
9.585235,9.627325,Mexican Bonos,MBONO,5.75,3/5/2026,AT MATURITY,MX,MXN,QJ1649335,BBB,91.206,BGN
9.214222443,9.246686102,Mexican Bonos,MBONO,7.5,6/3/2027,AT MATURITY,MX,MXN,EG1116375,BBB,94.46,BGN
8.878907428,8.898144425,Mexican Bonos,MBONO,8,7/31/2053,AT MATURITY,MX,MXN,BX4963407,BBB,90.788,BGN
8.836013081,8.864260346,Mexican Bonos,MBONO,8.5,5/31/2029,AT MATURITY,MX,MXN,EH6834517,BBB,98.456,BGN
10.086723,10.120304,Mexican Bonos,MBONO,5,3/6/2025,AT MATURITY,MX,MXN,BS4948482,BBB,92.491,BGN
9.56621235,9.596768842,Mexican Bonos,MBONO,7,9/3/2026,AT MATURITY,MX,MXN,ZK9254374,BBB,93.141,BGN
9.308908538,9.359617285,Mexican Bonos,MBONO,5.5,3/4/2027,AT MATURITY,MX,MXN,BR4592233,BBB,88.406,BGN
10.51779183,10.58965216,Mexican Bonos,MBONO,10,12/5/2024,AT MATURITY,MX,MXN,ED7791103,BBB,99.324,BGN
8.864443188,8.894006176,Mexican Bonos,MBONO,8.5,11/18/2038,AT MATURITY,MX,MXN,EH6944449,BBB,96.939,BGN
8.840746808,8.871723958,Mexican Bonos,MBONO,8,7/11/2047,AT MATURITY,MX,MXN,AM7523740,BBB,91.602,BGN
8.78596221,8.825525781,Mexican Bonos,MBONO,7.75,11/23/2034,AT MATURITY,MX,MXN,EK1693424,BBB,92.582,BGN
10.870333,10.953044,Mexican Bonos,MBONO,8,9/5/2024,AT MATURITY,MX,MXN,AX6352725,BBB,97.003,BGN
11.44469301,11.51873853,Mexican Bonos,MBONO,8,12/7/2023,AT MATURITY,MX,MXN,ED2028832,BBB,98.757,BGN
8.787326091,8.818302063,Mexican Bonos,MBONO,10,11/20/2036,AT MATURITY,MX,MXN,EF7918115,BBB,109.462,BGN
8.822076483,8.830021199,Mexican Bonos,MBONO,7.75,5/29/2031,AT MATURITY,MX,MXN,BO5734625,#N/A N/A,93.947,BVAL
8.822076483,8.830021199,Mexican Bonos,MBONO,7.75,5/29/2031,AT MATURITY,MX,MXN,BO5786427,#N/A N/A,93.947,BVAL
8.869407746,8.952119451,Mexican Fixed Rate Bond Principal,MBONOR,0,5/31/2029,AT MATURITY,MX,MXN,EH6834798,#N/A N/A,6.552,BVAL
8.822060958,8.900970874,Mexican Fixed Rate Bond Strip,MBONOS,0,5/30/2030,AT MATURITY,MX,MXN,EF5544368,#N/A N/A,6.201,BVAL
8.764190945,8.841714757,Mexican Fixed Rate Bond Strip,MBONOS,0,5/24/2035,AT MATURITY,MX,MXN,EF5545803,#N/A N/A,4.874,BVAL
8.91146117,8.991571135,Mexican Fixed Rate Bond Strip,MBONOS,0,6/1/2028,AT MATURITY,MX,MXN,EF5543766,#N/A N/A,6.951,BVAL
8.869407746,8.952119451,Mexican Fixed Rate Bond Strip,MBONOS,0,5/31/2029,AT MATURITY,MX,MXN,EF5544004,#N/A N/A,6.552,BVAL
8.76361716,8.84140552,Mexican Fixed Rate Bond Strip,MBONOS,0,5/26/2033,AT MATURITY,MX,MXN,EF5545449,#N/A N/A,5.335,BVAL
11.66122642,11.7489995,Mexican Fixed Rate Bond Strip,MBONOS,0,12/7/2023,AT MATURITY,MX,MXN,ED8500305,#N/A N/A,9.584,BVAL
8.822924107,8.890255018,Mexican Fixed Rate Bond Principal,MBONOR,0,#N/A,AT MATURITY,MX,MXN,ZK7697590,#N/A N/A,2.712,BVAL
9.377275239,9.466717062,Mexican Fixed Rate Bond Strip,MBONOS,0,6/4/2026,AT MATURITY,MX,MXN,EF5543121,#N/A N/A,7.862,BVAL
8.882828852,8.968085777,Mexican Fixed Rate Bond Strip,MBONOS,0,11/30/2028,AT MATURITY,MX,MXN,EF5543840,#N/A N/A,6.747,BVAL
8.846437881,8.927054955,Mexican Fixed Rate Bond Strip,MBONOS,0,11/29/2029,AT MATURITY,MX,MXN,EF5544285,#N/A N/A,6.371,BVAL
9.044220806,9.128767318,Mexican Fixed Rate Bond Strip,MBONOS,0,6/3/2027,AT MATURITY,MX,MXN,EF5543402,#N/A N/A,7.387,BVAL
8.807433588,8.887716936,Mexican Fixed Rate Bond Strip,MBONOS,0,5/29/2031,AT MATURITY,MX,MXN,EF5544921,#N/A N/A,5.88,BVAL
9.191604864,9.277858532,Mexican Fixed Rate Bond Strip,MBONOS,0,12/3/2026,AT MATURITY,MX,MXN,EF5543246,#N/A N/A,7.616,BVAL
9.675679831,9.77089026,Mexican Fixed Rate Bond Strip,MBONOS,0,12/4/2025,AT MATURITY,MX,MXN,EF5543048,#N/A N/A,8.119,BVAL
8.800165318,8.875983533,Mexican Fixed Rate Bond Strip,MBONOS,0,11/27/2031,AT MATURITY,MX,MXN,EF5545043,#N/A N/A,5.732,BVAL
8.818850124,8.89137738,Mexican Fixed Rate Bond Strip,MBONOS,0,#N/A,AT MATURITY,MX,MXN,EK2947787,#N/A N/A,3.667,BVAL
8.774777803,8.852972908,Mexican Fixed Rate Bond Strip,MBONOS,0,11/25/2032,AT MATURITY,MX,MXN,EF5545241,#N/A N/A,5.461,BVAL
10.64929751,10.74456337,Mexican Fixed Rate Bond Strip,MBONOS,0,12/5/2024,AT MATURITY,MX,MXN,ED8500388,#N/A N/A,8.716,BVAL
8.760745035,8.838201888,Mexican Fixed Rate Bond Strip,MBONOS,0,5/25/2034,AT MATURITY,MX,MXN,EF5545647,#N/A N/A,5.095,BVAL
8.814942994,8.890231055,Mexican Fixed Rate Bond Strip,MBONOS,0,#N/A,AT MATURITY,MX,MXN,EK3601003,#N/A N/A,3.792,BVAL
8.787537795,8.866281107,Mexican Fixed Rate Bond Strip,MBONOS,0,5/27/2032,AT MATURITY,MX,MXN,EF5545209,#N/A N/A,5.593,BVAL
8.767591762,8.841722062,Mexican Fixed Rate Bond Strip,MBONOS,0,11/22/2035,AT MATURITY,MX,MXN,EF5545969,#N/A N/A,4.77,BVAL
8.807433588,8.887716936,Mexican Fixed Rate Bond Principal,MBONOR,0,5/29/2031,AT MATURITY,MX,MXN,EJ6037042,#N/A N/A,5.88,BVAL
13.05813573,13.14891999,Mexican Fixed Rate Bond Principal,MBONOR,0,12/5/2024,AT MATURITY,MX,MXN,ED8497064,#N/A N/A,8.47,BVAL
8.771945865,8.84628688,Mexican Fixed Rate Bond Strip,MBONOS,0,5/22/2036,AT MATURITY,MX,MXN,EF5546363,#N/A N/A,4.67,BVAL
8.796059332,8.871766876,Mexican Fixed Rate Bond Strip,MBONOS,0,#N/A,AT MATURITY,MX,MXN,EH7043985,#N/A N/A,4.306,BVAL
11.66122642,11.7489995,Mexican Fixed Rate Bond Principal,MBONOR,0,12/7/2023,AT MATURITY,MX,MXN,ED8497023,#N/A N/A,9.584,BVAL
10.05403589,10.14411484,Mexican Fixed Rate Bond Strip,MBONOS,0,6/5/2025,AT MATURITY,MX,MXN,EF5542842,#N/A N/A,8.404,BVAL
8.762720273,8.836639661,Mexican Fixed Rate Bond Strip,MBONOS,0,11/23/2034,AT MATURITY,MX,MXN,EF5545720,#N/A N/A,4.982,BVAL
8.776351835,8.850954764,Mexican Fixed Rate Bond Strip,MBONOS,0,11/20/2036,AT MATURITY,MX,MXN,EF5546561,#N/A N/A,4.574,BVAL
8.818655155,8.890681782,Mexican Fixed Rate Bond Strip,MBONOS,0,#N/A,AT MATURITY,MX,MXN,EK3601060,#N/A N/A,3.728,BVAL
8.818850124,8.89137738,Mexican Fixed Rate Bond Principal,MBONOR,0,#N/A,AT MATURITY,MX,MXN,EJ6037299,#N/A N/A,3.667,BVAL
11.23970528,11.33603802,Mexican Fixed Rate Bond Strip,MBONOS,0,6/6/2024,AT MATURITY,MX,MXN,ED8500347,#N/A N/A,9.102,BVAL
8.963054265,9.047097192,Mexican Fixed Rate Bond Strip,MBONOS,0,12/2/2027,AT MATURITY,MX,MXN,EF5543600,#N/A N/A,7.164,BVAL
8.811434632,8.889047551,Mexican Fixed Rate Bond Strip,MBONOS,0,11/28/2030,AT MATURITY,MX,MXN,EF5544723,#N/A N/A,6.037,BVAL
8.759439301,8.836989788,Mexican Fixed Rate Bond Strip,MBONOS,0,11/24/2033,AT MATURITY,MX,MXN,EF5545522,#N/A N/A,5.213,BVAL
